iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program
5,30,10,JuliaAIC_bobyqa_AGP0,1030.9677740188536,0.6513604225950249,0.20025386814668233,0.766,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
5,30,10,JuliaAIC_NeldMeader_AGP1,1031.1454390071094,0.6525649025792547,0.2773247858888463,13.895,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
5,30,10,JuliaAIC_bobyqa_AGP1,1030.9540288735066,0.6519168408710193,0.18500744934319596,1.973,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
6,30,10,NelderMead_nAGQ0,955.3574838394416,0.15809330917927886,0.006673020376810482,1.9347760677337646,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
6,30,10,NelderMead_nAGQ1,955.3298439196415,0.17898562698875117,0.03514738990282225,8.594866037368774,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
6,30,10,Bobyqa_nAGQ0,955.3574838394416,0.15809330917927886,0.006673020376810482,1.9359769821166992,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
6,30,10,Bobyqa_nAGQ1,955.3297006224154,0.1786521646362347,0.03491792707066387,3.8920559883117676,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
6,30,10,nloptwrap_nAGQ0,955.3598624660633,0.15660077861107913,0.006448063835866317,0.6744399070739746,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
6,30,10,nloptwrap_nAGQ1,955.3333833711396,0.17476320451442326,0.03289235383543291,1.8120760917663574,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
6,30,10,JuliaAIC_NeldMeader_AGP0,955.3574760260304,0.1581005192077211,0.006673429602827716,6.017,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
6,30,10,JuliaAIC_bobyqa_AGP0,955.3575508066369,0.15768226037741573,0.006622415730248063,0.423,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
6,30,10,JuliaAIC_NeldMeader_AGP1,955.3294443631639,0.14037510628406355,0.005629785525495462,20.001,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
6,30,10,JuliaAIC_bobyqa_AGP1,955.3332949906629,0.1373337252630785,0.0052866573578026245,0.719,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
7,30,10,NelderMead_nAGQ0,997.8871473574785,0.6769677362026666,0.0977489054987631,6.234250068664551,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
7,30,10,NelderMead_nAGQ1,997.8622424537995,0.6779632373866309,0.1797893958483167,11.409420013427734,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
7,30,10,Bobyqa_nAGQ0,997.8871473574785,0.6769677362026666,0.0977489054987631,6.282646179199219,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
7,30,10,Bobyqa_nAGQ1,997.8622417474654,0.6777574690402287,0.17990970426457933,8.070412874221802,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
7,30,10,nloptwrap_nAGQ0,997.8980903710478,0.6829578077522731,0.09715794211154083,0.4527149200439453,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
7,30,10,nloptwrap_nAGQ1,997.8727871667941,0.6857259723937623,0.1774678378619539,1.456300973892212,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
7,30,10,JuliaAIC_NeldMeader_AGP0,997.8951282703468,0.6797033301416954,0.09921972542876355,11.597,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
7,30,10,JuliaAIC_bobyqa_AGP0,997.8953670001657,0.6829672477689688,0.0973132297626573,0.344,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
7,30,10,JuliaAIC_NeldMeader_AGP1,997.8724658483517,0.6830431275938044,0.08984240799910763,9.799,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
7,30,10,JuliaAIC_bobyqa_AGP1,997.8725155866547,0.6838783816626613,0.08982105702241769,2.358,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
8,30,10,NelderMead_nAGQ0,962.6030072555619,0.44186582739845043,0.30875397610378,1.2184629440307617,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
8,30,10,NelderMead_nAGQ1,962.5639461515685,0.4371447372277897,0.3996821341967117,12.113708972930908,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
8,30,10,Bobyqa_nAGQ0,962.6030072555619,0.44186582739845043,0.30875397610378,1.2390310764312744,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
8,30,10,Bobyqa_nAGQ1,962.5639438487236,0.4371302543990723,0.3997429227616249,3.3741769790649414,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
8,30,10,nloptwrap_nAGQ0,962.6043444901737,0.4416918298620731,0.3134600071784582,0.3905599117279053,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
8,30,10,nloptwrap_nAGQ1,962.5641258890448,0.43431800667049264,0.399725837316453,1.5464580059051514,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
8,30,10,JuliaAIC_NeldMeader_AGP0,962.341473946995,0.4402090988798673,0.3046771318014743,2.984,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
8,30,10,JuliaAIC_bobyqa_AGP0,962.3414167058264,0.4402037417627773,0.30470495870728076,0.363,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
8,30,10,JuliaAIC_NeldMeader_AGP1,962.3051874824508,0.41205019821348554,0.2895351576249805,7.337,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
8,30,10,JuliaAIC_bobyqa_AGP1,962.3051891526953,0.41213495027413954,0.29026204117247345,1.755,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
9,30,10,NelderMead_nAGQ0,1021.9128238268227,0.9960800318211208,0.6048035441448201,3.014893054962158,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
9,30,10,NelderMead_nAGQ1,1021.9067097997203,0.9988297684662725,0.6869145562198566,6.06547212600708,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
9,30,10,Bobyqa_nAGQ0,1021.9128238268227,0.9960800318211208,0.6048035441448201,3.010446786880493,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
9,30,10,Bobyqa_nAGQ1,1021.9067087299148,0.9988898510984852,0.686918918501135,5.359570026397705,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
9,30,10,nloptwrap_nAGQ0,1021.9129192626147,0.9963731225380928,0.6037975103930058,0.6092848777770996,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
9,30,10,nloptwrap_nAGQ1,1021.9072172876388,0.9921158858795653,0.684975258357492,1.6558411121368408,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
9,30,10,JuliaAIC_NeldMeader_AGP0,1021.9128187502478,0.9960805820638268,0.6048003207639281,4.477,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
9,30,10,JuliaAIC_bobyqa_AGP0,1021.9128253719201,0.9961041302990765,0.6046901156869383,0.469,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
9,30,10,JuliaAIC_NeldMeader_AGP1,1021.9066839822968,0.9989972810251346,0.5964416365506555,7.972,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
9,30,10,JuliaAIC_bobyqa_AGP1,1021.9068457828598,0.9908439030971444,0.5990667426031355,1.797,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
10,30,10,NelderMead_nAGQ0,994.1670033730124,0.7735441979637496,0.9297075801739585,1.7026939392089844,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
10,30,10,NelderMead_nAGQ1,994.1425932348236,0.7635142324821274,0.9486015773791119,10.924243927001953,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
10,30,10,Bobyqa_nAGQ0,994.1670033730124,0.7735441979637496,0.9297075801739585,1.7006771564483643,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
10,30,10,Bobyqa_nAGQ1,994.1425885365808,0.7646371441172776,0.949446667063583,3.642256021499634,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
10,30,10,nloptwrap_nAGQ0,994.1664578108133,0.7741544995143725,0.9250504724530311,0.6107997894287109,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
