,Model,StandardValues,ConditionOfInterest,ID,Repetition,Mean_Modeled,SD_Modeled,AIC,CoefCond,CoefInteract,PvaluesCoI,PvaluesInterac,SECoI,SEInterac,Mean_Actual,SD_Actual,PSE_Difference,JND_Difference,Condition_PSEJND,ActualPSEs,ActualSDs,Condition,AIC_Norm
57,M14,5,0,s15,1,0.137835745,0.784212024,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.034351907,0.879169781,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
58,M14,6,0,s15,1,0.151232374,0.929968428,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.041222289,1.055003737,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
59,M14,7,0,s15,1,0.162312196,1.078016923,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.04809267,1.230837693,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
60,M14,8,0,s15,1,0.181568122,1.253066041,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.054963052,1.406671649,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
61,M14,5,0,s16,1,0.063921923,0.785099619,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.169026774,0.689322025,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
62,M14,6,0,s16,1,0.095525587,0.929705253,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.202832129,0.82718643,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
63,M14,7,0,s16,1,0.11148593,1.071186935,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.236637484,0.965050836,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
64,M14,8,0,s16,1,0.12521745,1.252169568,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.270442839,1.102915241,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
65,M14,5,0,s17,1,1.095337851,0.788439828,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,1.165026839,0.715889187,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
66,M14,6,0,s17,1,1.311040453,0.931731907,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,1.398032207,0.859067025,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
67,M14,7,0,s17,1,1.500136603,1.07848828,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,1.631037575,1.002244862,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
68,M14,8,0,s17,1,1.789948756,1.249332444,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,1.864042942,1.1454227,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
69,M14,5,0,s18,1,-0.092783065,0.781649369,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.044203997,0.890114426,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
