iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program
11,30,10,nloptwrap_nAGQ0,1004.5679752760932,0.8193863096713011,0.23296702977759107,0.8607170581817627,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
11,30,10,nloptwrap_nAGQ1,1004.5460485250014,0.8186450251139819,0.3042802276586204,1.9448518753051758,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
11,30,10,JuliaAIC_NeldMeader_AGP0,1004.6457995534329,0.7879107806152241,0.18651226025350953,7.142,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
11,30,10,JuliaAIC_bobyqa_AGP0,1004.5642552211232,0.80027889596003,0.1858331667275278,0.697,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
12,30,10,NelderMead_nAGQ0,974.5638258796073,0.6213432614571575,0.9244790402254448,1.3815860748291016,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
12,30,10,NelderMead_nAGQ1,974.5372424088122,0.6487895041402654,0.9415429396700786,7.982022047042847,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
12,30,10,Bobyqa_nAGQ0,974.5638258796073,0.6213432614571575,0.9244790402254448,1.3764779567718506,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
12,30,10,Bobyqa_nAGQ1,974.5372097793223,0.6487805595343642,0.9417302081628351,3.3230080604553223,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
12,30,10,nloptwrap_nAGQ0,974.5638614882491,0.6212947828237675,0.9244141680247188,0.5192677974700928,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
12,30,10,nloptwrap_nAGQ1,974.5373145408894,0.647431019929017,0.9374032978232387,1.6888060569763184,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
12,30,10,JuliaAIC_NeldMeader_AGP0,974.544550878699,0.5987202095000063,0.9276781048985435,6.913,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
12,30,10,JuliaAIC_bobyqa_AGP0,974.5445509112282,0.5987187371534513,0.9276833252469928,0.406,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
13,30,10,NelderMead_nAGQ0,977.4703822472342,0.5492270777200186,0.08372826509421802,2.140120029449463,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
13,30,10,NelderMead_nAGQ1,977.4560766485354,0.5485445410399632,0.24184924624224324,8.141252994537354,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
13,30,10,Bobyqa_nAGQ0,977.4703822472342,0.5492270777200186,0.08372826509421802,2.1244750022888184,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
13,30,10,Bobyqa_nAGQ1,977.4560764365841,0.5484247766428456,0.2418580966871035,4.266916036605835,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
13,30,10,nloptwrap_nAGQ0,977.5168959197478,0.5467262043436205,0.06619691384932695,0.559088945388794,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
13,30,10,nloptwrap_nAGQ1,977.3970547348196,0.5303638164368093,0.2373446136052609,2.202751874923706,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
13,30,10,JuliaAIC_NeldMeader_AGP0,977.3920843143973,0.48140291711314787,0.04646639057929665,15.505,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
13,30,10,JuliaAIC_bobyqa_AGP0,977.4659687247984,0.4933816524659424,0.04774449628823534,0.281,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
14,30,10,NelderMead_nAGQ0,1074.2935828720385,0.7328880966518014,0.7042928178754971,1.4541921615600586,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
14,30,10,NelderMead_nAGQ1,1074.2654463298409,0.6881977437263994,0.7803120634198469,12.606217861175537,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
14,30,10,Bobyqa_nAGQ0,1074.2935828720385,0.7328880966518014,0.7042928178754971,1.45278000831604,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
14,30,10,Bobyqa_nAGQ1,1074.2653803117173,0.6874767291164727,0.7787912951447535,3.592928171157837,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
14,30,10,nloptwrap_nAGQ0,1074.2936070035141,0.7329425408757608,0.7047908334218013,0.6087360382080078,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
14,30,10,nloptwrap_nAGQ1,1074.2680028881414,0.7089768206356217,0.7808276476468449,1.7652080059051514,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
14,30,10,JuliaAIC_NeldMeader_AGP0,1074.2922038844547,0.708246063478414,0.6777120855640938,6.206,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
14,30,10,JuliaAIC_bobyqa_AGP0,1074.9717125265008,0.6932931272753773,0.68117514137852,0.282,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
