n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
16,2,5,8,40,0.025,0.05,0,0.108,0.1,0.2,0.2,0.84,0.09,0.31,0.06,10.71459917
18,2,5,8,40,0.025,0.05,0,0.108,0.1,0.2,0.2,0.88,0.07,0.36,0.08,11.62456489
20,2,5,8,40,0.025,0.05,0,0.108,0.1,0.2,0.2,0.94,0.09,0.46,0.03,13.21646947
10,2,5,8,40,0.025,0.1,0,0.108,0.1,0.2,0.2,0.61,0.1,0.15,0.1,6.324911984
12,2,5,8,40,0.025,0.1,0,0.108,0.1,0.2,0.2,0.67,0.09,0.13,0.1,7.801664285
14,2,5,8,40,0.025,0.1,0,0.108,0.1,0.2,0.2,0.8,0.04,0.23,0.05,9.184370701
16,2,5,8,40,0.025,0.1,0,0.108,0.1,0.2,0.2,0.75,0.14,0.23,0.18,10.43736545
18,2,5,8,40,0.025,0.1,0,0.108,0.1,0.2,0.2,0.86,0.13,0.3,0.1,11.54715918
20,2,5,8,40,0.025,0.1,0,0.108,0.1,0.2,0.2,0.94,0.11,0.47,0.14,12.87320602
10,2,5,8,40,0.05,-0.1,0,0.108,0.1,0.2,0.2,0.98,0.13,0.79,0.13,6.462185248
12,2,5,8,40,0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.08,0.88,0.12,8.037151051
14,2,5,8,40,0.05,-0.1,0,0.108,0.1,0.2,0.2,0.97,0.2,0.84,0.11,9.310816518
16,2,5,8,40,0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.14,0.89,0.19,10.9863278
18,2,5,8,40,0.05,-0.1,0,0.108,0.1,0.2,0.2,0.99,0.15,0.91,0.13,12.07844075
20,2,5,8,40,0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.21,0.95,0.17,14.09601479
10,2,5,8,40,0.05,-0.05,0,0.108,0.1,0.2,0.2,0.98,0.03,0.82,0.04,6.619715035
12,2,5,8,40,0.05,-0.05,0,0.108,0.1,0.2,0.2,0.98,0.09,0.89,0.05,7.879714334
14,2,5,8,40,0.05,-0.05,0,0.108,0.1,0.2,0.2,0.99,0.05,0.9,0.03,9.223968764
16,2,5,8,40,0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.06,0.96,0.09,10.83304003
18,2,5,8,40,0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.14,0.89,0.09,12.27115205
20,2,5,8,40,0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.09,0.9,0.06,14.1655374
10,2,5,8,40,0.05,0,0,0.108,0.1,0.2,0.2,0.99,0.05,0.77,0.02,6.583291368
12,2,5,8,40,0.05,0,0,0.108,0.1,0.2,0.2,0.99,0.02,0.88,0.07,7.982405885
14,2,5,8,40,0.05,0,0,0.108,0.1,0.2,0.2,1,0.02,0.87,0.03,9.144388549
16,2,5,8,40,0.05,0,0,0.108,0.1,0.2,0.2,1,0.05,0.93,0.04,10.75639228
18,2,5,8,40,0.05,0,0,0.108,0.1,0.2,0.2,1,0.04,0.91,0.01,12.42645861
20,2,5,8,40,0.05,0,0,0.108,0.1,0.2,0.2,1,0.09,0.93,0.02,13.67076698
10,2,5,8,40,0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.03,0.8,0.05,6.392425799
12,2,5,8,40,0.05,0.05,0,0.108,0.1,0.2,0.2,0.98,0.06,0.83,0.07,7.942054915
14,2,5,8,40,0.05,0.05,0,0.108,0.1,0.2,0.2,0.99,0.05,0.86,0.05,9.247336984
16,2,5,8,40,0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.09,0.89,0.02,10.90178463
18,2,5,8,40,0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.07,0.94,0.06,12.12279342
20,2,5,8,40,0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.15,0.89,0.1,14.32837365
10,2,5,8,40,0.05,0.1,0,0.108,0.1,0.2,0.2,0.97,0.1,0.77,0.06,6.448390083
12,2,5,8,40,0.05,0.1,0,0.108,0.1,0.2,0.2,0.99,0.1,0.86,0.07,7.797899417
14,2,5,8,40,0.05,0.1,0,0.108,0.1,0.2,0.2,0.99,0.13,0.9,0.1,9.201322234
