n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
14,2,5,8,100,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.08,0.0,0.09,1105492 milliseconds
16,2,5,8,100,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.05,0.0,0.07,1284402 milliseconds
18,2,5,8,100,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.04,0.0,0.06,1482876 milliseconds
20,2,5,8,100,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.03,0.01,0.07,1646210 milliseconds
10,2,5,8,100,0.0,0.05,0,0.108,0.1,0.1,0.1,1.0,0.06,0.01,0.07,737947 milliseconds
12,2,5,8,100,0.0,0.05,0,0.108,0.1,0.1,0.1,1.0,0.07,0.0,0.1,913494 milliseconds
14,2,5,8,100,0.0,0.05,0,0.108,0.1,0.1,0.1,1.0,0.06,0.0,0.11,1118322 milliseconds
16,2,5,8,100,0.0,0.05,0,0.108,0.1,0.1,0.1,1.0,0.09,0.0,0.08,1238821 milliseconds
18,2,5,8,100,0.0,0.05,0,0.108,0.1,0.1,0.1,1.0,0.12,0.01,0.16,1538118 milliseconds
20,2,5,8,100,0.0,0.05,0,0.108,0.1,0.1,0.1,1.0,0.17,0.0,0.22,1653844 milliseconds
10,2,5,8,100,0.0,0.1,0,0.108,0.1,0.1,0.1,1.0,0.2,0.01,0.25,709057 milliseconds
12,2,5,8,100,0.0,0.1,0,0.108,0.1,0.1,0.1,1.0,0.29,0.03,0.32,888740 milliseconds
14,2,5,8,100,0.0,0.1,0,0.108,0.1,0.1,0.1,1.0,0.25,0.0,0.37,997835 milliseconds
16,2,5,8,100,0.0,0.1,0,0.108,0.1,0.1,0.1,1.0,0.36,0.02,0.44,1329214 milliseconds
18,2,5,8,100,0.0,0.1,0,0.108,0.1,0.1,0.1,1.0,0.29,0.0,0.48,1372191 milliseconds
20,2,5,8,100,0.0,0.1,0,0.108,0.1,0.1,0.1,1.0,0.38,0.0,0.43,1548115 milliseconds
10,2,5,8,100,0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.28,0.85,0.34,784245 milliseconds
12,2,5,8,100,0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.33,0.96,0.32,912791 milliseconds
14,2,5,8,100,0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.37,0.92,0.48,1096913 milliseconds
16,2,5,8,100,0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.42,0.94,0.48,1353387 milliseconds
18,2,5,8,100,0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.51,0.99,0.5,1534549 milliseconds
20,2,5,8,100,0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.48,1.0,0.54,1709267 milliseconds
10,2,5,8,100,0.025,0.05,0,0.108,0.1,0.1,0.1,1.0,0.07,0.77,0.12,776819 milliseconds
12,2,5,8,100,0.025,0.05,0,0.108,0.1,0.1,0.1,1.0,0.06,0.89,0.14,918350 milliseconds
14,2,5,8,100,0.025,0.05,0,0.108,0.1,0.1,0.1,1.0,0.11,0.93,0.16,1143408 milliseconds
16,2,5,8,100,0.025,0.05,0,0.108,0.1,0.1,0.1,1.0,0.14,0.98,0.15,1296185 milliseconds
18,2,5,8,100,0.025,0.05,0,0.108,0.1,0.1,0.1,1.0,0.03,0.97,0.07,1524274 milliseconds
20,2,5,8,100,0.025,0.05,0,0.108,0.1,0.1,0.1,1.0,0.12,1.0,0.2,1641317 milliseconds
